data,variance,lag1-ac,max eigenvalue,deep learning,residual(vanilla),residual(rbf),residual(laplacian),residual(polynomial)
saddlenode,0.9800000000000001,0.9800000000000001,0.66,0.92,1.0,1.0,1.0,0.9800000000000001
hopf,1.0,0.49000000000000005,0.43999999999999995,0.7,0.29,0.69,0.8200000000000001,0.89
thermoacoustic,0.9236842105263158,0.9789473684210527,0.48289473684210527,0.6894736842105263,0.6473684210526315,0.6789473684210526,0.831578947368421,0.5394736842105263
paleoclimate,0.65625,0.84375,0.484375,0.453125,0.265625,0.890625,0.8125,0.3125
anoxia,0.834319526627219,0.48002958579881655,0.7278106508875739,0.9733727810650887,0.6272189349112427,0.6020710059171597,0.4238165680473373,0.45118343195266275
