id,label,t,x
0,1,980.0,1.1467096837188429
0,1,980.01,1.146632980419824
0,1,980.02,1.1465590335778695
0,1,980.03,1.1465055240345328
0,1,980.04,1.1464913810631019
0,1,980.0500000000001,1.1464292241862086
0,1,980.0600000000001,1.1463615037351538
0,1,980.07,1.1463747853193116
0,1,980.08,1.1463189766270845
0,1,980.09,1.1462704991800503
0,1,980.1,1.1461873486578202
0,1,980.11,1.1461529202766287
0,1,980.12,1.1460531092924622
0,1,980.13,1.1459669465307958
0,1,980.14,1.1460078719614981
0,1,980.15,1.1459839637267133
0,1,980.16,1.1459784968050803
0,1,980.1700000000001,1.1459724282033654
0,1,980.1800000000001,1.1459374862059735
0,1,980.19,1.145864557720877
0,1,980.2,1.1458518419528563
0,1,980.21,1.145840291585183
0,1,980.22,1.1458229894422198
0,1,980.23,1.1457686767082018
0,1,980.24,1.1456883118733934
0,1,980.25,1.1456080967346822
0,1,980.26,1.1455928790135315
0,1,980.27,1.1455269447911223
0,1,980.28,1.1454989787054024
0,1,980.29,1.1455286545282826
0,1,980.3000000000001,1.145515076375231
0,1,980.3100000000001,1.1455067692423124
0,1,980.32,1.145478721745915
0,1,980.33,1.1453614655143765
0,1,980.34,1.1453328790574406
0,1,980.35,1.1452249245144308
0,1,980.36,1.1451944802598433
0,1,980.37,1.145119558289143
0,1,980.38,1.1450511772987495
0,1,980.39,1.1449830451438725
0,1,980.4,1.1450133289086746
0,1,980.41,1.145045686317384
0,1,980.4200000000001,1.145038180329055
0,1,980.4300000000001,1.1449326429962468
0,1,980.44,1.1448803170909472
0,1,980.45,1.144849323440626
0,1,980.46,1.1448136765090267
0,1,980.47,1.144829326092127
0,1,980.48,1.1447675225118759
0,1,980.49,1.14469645598532
0,1,980.5,1.1446464777971206
0,1,980.51,1.1446018914932807
0,1,980.52,1.1445878273239765
0,1,980.53,1.1445398499489725
0,1,980.54,1.1445634679861931
0,1,980.5500000000001,1.1444805202101254
0,1,980.5600000000001,1.1444758816963663
0,1,980.57,1.1443970172826352
0,1,980.58,1.144347023771882
0,1,980.59,1.1442492218888514
0,1,980.6,1.1441515932900144
0,1,980.61,1.1441327762978477
0,1,980.62,1.1441307240359473
0,1,980.63,1.1441107805045445
0,1,980.64,1.1441187088914588
0,1,980.65,1.1440800390477972
0,1,980.66,1.1440589190509918
0,1,980.6700000000001,1.144030166721575
0,1,980.6800000000001,1.1440603221323031
0,1,980.69,1.1440605475759624
0,1,980.7,1.1440542101573905
0,1,980.71,1.1440495018626615
0,1,980.72,1.144099418474256
0,1,980.73,1.1440542028103922
0,1,980.74,1.1441118384095952
0,1,980.75,1.1440841287682473
0,1,980.76,1.1440848453923786
0,1,980.77,1.1440335134852033
0,1,980.78,1.143968121949434
0,1,980.79,1.143924984936498
0,1,980.8000000000001,1.1439019515739899
0,1,980.8100000000001,1.1438563968049011
0,1,980.82,1.143844701031033
0,1,980.83,1.1438226114158316
0,1,980.84,1.1437539871407536
0,1,980.85,1.1437007973071447
0,1,980.86,1.1436937638780074
0,1,980.87,1.1436774486206183
0,1,980.88,1.1436511485066436
0,1,980.89,1.1436132323018502
0,1,980.9,1.1435589926809357
0,1,980.91,1.1435418722621409
0,1,980.9200000000001,1.1435416033000934
0,1,980.9300000000001,1.1435326050352403
0,1,980.94,1.1434797865183626
0,1,980.95,1.1434739738044961
0,1,980.96,1.1434165852924234
0,1,980.97,1.1434281631021517
0,1,980.98,1.143448066736994
0,1,980.99,1.1434289972798342
0,1,981.0,1.1434248975731078
0,1,981.01,1.1433243259908543
0,1,981.02,1.1433508334562417
0,1,981.03,1.1432540095785277
0,1,981.04,1.143168622106572
0,1,981.0500000000001,1.14312440769376
0,1,981.0600000000001,1.1430577847091516
0,1,981.07,1.1430018884297017
0,1,981.08,1.1429247789798882
0,1,981.09,1.1428614870935752
0,1,981.1,1.1428437248845598
0,1,981.11,1.1428309630652755
0,1,981.12,1.1428103032159065
0,1,981.13,1.142751659287687
0,1,981.14,1.1426918040325975
0,1,981.15,1.1426621889493327
