data,variance,lag1-ac,max eigenvalue,deep learning,residual(vanilla),residual(rbf),residual(laplacian),residual(polynomial)
saddlenode,1.0,1.0,0.775,0.91,1.0,1.0,1.0,0.99
hopf,0.925,0.73,0.65,0.56,0.27999999999999997,0.78,0.92,0.8450000000000001
thermoacoustic,0.9263157894736841,0.9763157894736841,0.4631578947368421,0.7342105263157894,0.5986842105263157,0.6236842105263157,0.8894736842105263,0.7039473684210525
paleoclimate,0.65625,0.828125,0.5703125,0.4375,0.2109375,0.8125,0.828125,0.046875
anoxia,0.8424556213017751,0.4918639053254438,0.6612426035502958,0.9659763313609468,0.6420118343195266,0.7936390532544378,0.8439349112426036,0.4223372781065089
